season_id,match_id,match_url,player_url,player_id,player_name,event_type,event_score,event_time_label,event_time_minute,event_time_extra
GB1-2025,M-2025-26-06,/spielbericht/index/spielbericht/4626051,/jefferson-lerma/profil/spieler/262980,262980,Jefferson Lerma,icon-eigentor-formation,2:3,45+2',45,2
GB1-2025,M-2025-26-07,/spielbericht/index/spielbericht/4626053,/antoine-semenyo/profil/spieler/583255,583255,Antoine Semenyo,icon-tor-formation,1:0,24',24,0
GB1-2025,M-2025-26-07,/spielbericht/index/spielbericht/4626053,/nico-oreilly/profil/spieler/743413,743413,Nico O'Reilly,icon-tor-formation,2:0,30',30,0
GB1-2025,M-2025-26-07,/spielbericht/index/spielbericht/4626053,/erling-haaland/profil/spieler/418560,418560,Erling Haaland,icon-tor-formation,3:0,39',39,0
GB1-2025,M-2025-26-09,/spielbericht/index/spielbericht/4626055,/virgil-van-dijk/profil/spieler/139208,139208,Virgil van Dijk,icon-tor-formation,0:1,61',61,0
GB1-2025,M-2025-26-10,/spielbericht/index/spielbericht/4626049,/noni-madueke/profil/spieler/503987,503987,Noni Madueke,icon-tor-formation,0:1,61',61,0
GB1-2025,M-2025-26-10,/spielbericht/index/spielbericht/4626049,/keane-lewis-potter/profil/spieler/644401,644401,Keane Lewis-Potter,icon-tor-formation,1:1,71',71,0
GB1-2025,M-2025-27-01,/spielbericht/index/spielbericht/4626058,/anton-stach/profil/spieler/344069,344069,Anton Stach,icon-tor-formation,0:1,31',31,0
GB1-2025,M-2025-27-01,/spielbericht/index/spielbericht/4626058,/tammy-abraham/profil/spieler/331726,331726,Tammy Abraham,icon-tor-formation,1:1,88',88,0
GB1-2025,M-2025-27-02,/spielbericht/index/spielbericht/4626059,/diego-gomez/profil/spieler/996897,996897,Diego Gómez,icon-tor-formation,0:1,30',30,0
GB1-2025,M-2025-27-02,/spielbericht/index/spielbericht/4626059,/danny-welbeck/profil/spieler/67063,67063,Danny Welbeck,icon-tor-formation,0:2,45+1',45,1
GB1-2025,M-2025-27-03,/spielbericht/index/spielbericht/4626060,/joao-pedro/profil/spieler/626724,626724,João Pedro,icon-tor-formation,1:0,4',4,0
GB1-2025,M-2025-27-03,/spielbericht/index/spielbericht/4626060,/wesley-fofana/profil/spieler/475411,475411,Wesley Fofana,icon-gelbrotekarte-formation,,72',72,0
GB1-2025,M-2025-27-03,/spielbericht/index/spielbericht/4626060,/zian-flemming/profil/spieler/411537,411537,Zian Flemming,icon-tor-formation,1:1,90+3',90,3
GB1-2025,M-2025-27-05,/spielbericht/index/spielbericht/4626063,/nico-oreilly/profil/spieler/743413,743413,Nico O'Reilly,icon-tor-formation,1:0,14',14,0
GB1-2025,M-2025-27-05,/spielbericht/index/spielbericht/4626063,/lewis-hall/profil/spieler/670858,670858,Lewis Hall,icon-tor-formation,1:1,22',22,0
GB1-2025,M-2025-27-05,/spielbericht/index/spielbericht/4626063,/nico-oreilly/profil/spieler/743413,743413,Nico O'Reilly,icon-tor-formation,2:1,27',27,0
GB1-2025,M-2025-27-06,/spielbericht/index/spielbericht/4626061,/tolu-arokodare/profil/spieler/683571,683571,Tolu Arokodare,icon-verschossener-elfmeter-formation,,43',43,0
GB1-2025,M-2025-27-06,/spielbericht/index/spielbericht/4626061,/ladislav-krejci/profil/spieler/345911,345911,Ladislav Krejci,icon-gelbrotekarte-formation,,61',61,0
GB1-2025,M-2025-27-06,/spielbericht/index/spielbericht/4626061,/evann-guessand/profil/spieler/500689,500689,Evann Guessand,icon-tor-formation,1:0,90',90,0
GB1-2025,M-2025-27-07,/spielbericht/index/spielbericht/4626064,/alexis-mac-allister/profil/spieler/534033,534033,Alexis Mac Allister,icon-tor-formation,0:1,90+7',90,7
GB1-2025,M-2025-27-08,/spielbericht/index/spielbericht/4626065,/raul-jimenez/profil/spieler/206040,206040,Raúl Jiménez,icon-tor-formation,0:1,54',54,0
GB1-2025,M-2025-27-08,/spielbericht/index/spielbericht/4626065,/raul-jimenez/profil/spieler/206040,206040,Raúl Jiménez,icon-elfmeter-formation,0:2,61',61,0
GB1-2025,M-2025-27-08,/spielbericht/index/spielbericht/4626065,/enzo-le-fee/profil/spieler/633992,633992,Enzo Le Fée,icon-elfmeter-formation,1:2,76',76,0
GB1-2025,M-2025-27-08,/spielbericht/index/spielbericht/4626065,/alex-iwobi/profil/spieler/242631,242631,Alex Iwobi,icon-tor-formation,1:3,85',85,0
GB1-2025,M-2025-27-09,/spielbericht/index/spielbericht/4626066,/eberechi-eze/profil/spieler/479999,479999,Eberechi Eze,icon-tor-formation,0:1,32',32,0
GB1-2025,M-2025-27-09,/spielbericht/index/spielbericht/4626066,/randal-kolo-muani/profil/spieler/487969,487969,Randal Kolo Muani,icon-tor-formation,1:1,34',34,0
GB1-2025,M-2025-27-09,/spielbericht/index/spielbericht/4626066,/viktor-gyokeres/profil/spieler/325443,325443,Viktor Gyökeres,icon-tor-formation,1:2,47',47,0
GB1-2025,M-2025-27-09,/spielbericht/index/spielbericht/4626066,/eberechi-eze/profil/spieler/479999,479999,Eberechi Eze,icon-tor-formation,1:3,61',61,0
GB1-2025,M-2025-27-09,/spielbericht/index/spielbericht/4626066,/viktor-gyokeres/profil/spieler/325443,325443,Viktor Gyökeres,icon-tor-formation,1:4,90+4',90,4
GB1-2025,M-2025-27-10,/spielbericht/index/spielbericht/4626062,/benjamin-sesko/profil/spieler/627442,627442,Benjamin Sesko,icon-tor-formation,0:1,71',71,0
GB1-2025,M-2025-28-01,/spielbericht/index/spielbericht/4626077,/joao-gomes/profil/spieler/735570,735570,João Gomes,icon-tor-formation,1:0,61',61,0
GB1-2025,M-2025-28-01,/spielbericht/index/spielbericht/4626077,/rodrigo-gomes/profil/spieler/667121,667121,Rodrigo Gomes,icon-tor-formation,2:0,90+8',90,8
GB1-2025,M-2025-28-02,/spielbericht/index/spielbericht/4626069,/eliezer-mayenda/profil/spieler/967346,967346,Eliezer Mayenda,icon-tor-formation,0:1,18',18,0
GB1-2025,M-2025-28-02,/spielbericht/index/spielbericht/4626069,/evanilson/profil/spieler/711337,711337,Evanilson,icon-tor-formation,1:1,63',63,0
GB1-2025,M-2025-28-03,/spielbericht/index/spielbericht/4626071,/mikkel-damsgaard/profil/spieler/540941,540941,Mikkel Damsgaard,icon-tor-formation,0:1,9',9,0
GB1-2025,M-2025-28-03,/spielbericht/index/spielbericht/4626071,/igor-thiago/profil/spieler/739443,739443,Igor Thiago,icon-tor-formation,0:2,25',25,0
GB1-2025,M-2025-28-03,/spielbericht/index/spielbericht/4626071,/kevin-schade/profil/spieler/473050,473050,Kevin Schade,icon-tor-formation,0:3,34',34,0
GB1-2025,M-2025-28-03,/spielbericht/index/spielbericht/4626071,/michael-kayode/profil/spieler/823486,823486,Michael Kayode,icon-eigentor-formation,1:3,45+3',45,3
GB1-2025,M-2025-28-03,/spielbericht/index/spielbericht/4626071,/jaidon-anthony/profil/spieler/684210,684210,Jaidon Anthony,icon-tor-formation,2:3,47',47,0
GB1-2025,M-2025-28-03,/spielbericht/index/spielbericht/4626071,/zian-flemming/profil/spieler/411537,411537,Zian Flemming,icon-tor-formation,3:3,60',60,0
GB1-2025,M-2025-28-03,/spielbericht/index/spielbericht/4626071,/mikkel-damsgaard/profil/spieler/540941,540941,Mikkel Damsgaard,icon-tor-formation,3:4,90+3',90,3
GB1-2025,M-2025-28-04,/spielbericht/index/spielbericht/4626074,/hugo-ekitike/profil/spieler/709726,709726,Hugo Ekitiké,icon-tor-formation,1:0,5',5,0
GB1-2025,M-2025-28-04,/spielbericht/index/spielbericht/4626074,/virgil-van-dijk/profil/spieler/139208,139208,Virgil van Dijk,icon-tor-formation,2:0,24',24,0
GB1-2025,M-2025-28-04,/spielbericht/index/spielbericht/4626074,/alexis-mac-allister/profil/spieler/534033,534033,Alexis Mac Allister,icon-tor-formation,3:0,43',43,0
GB1-2025,M-2025-28-04,/spielbericht/index/spielbericht/4626074,/tomas-soucek/profil/spieler/283628,283628,Tomáš Souček,icon-tor-formation,3:1,49',49,0
GB1-2025,M-2025-28-04,/spielbericht/index/spielbericht/4626074,/cody-gakpo/profil/spieler/434675,434675,Cody Gakpo,icon-tor-formation,4:1,70',70,0
GB1-2025,M-2025-28-04,/spielbericht/index/spielbericht/4626074,/taty-castellanos/profil/spieler/522784,522784,Taty Castellanos,icon-tor-formation,4:2,75',75,0
GB1-2025,M-2025-28-04,/spielbericht/index/spielbericht/4626074,/axel-disasi/profil/spieler/386047,386047,Axel Disasi,icon-eigentor-formation,5:2,82',82,0
GB1-2025,M-2025-28-05,/spielbericht/index/spielbericht/4626076,/jarrad-branthwaite/profil/spieler/661053,661053,Jarrad Branthwaite,icon-tor-formation,0:1,19',19,0
GB1-2025,M-2025-28-05,/spielbericht/index/spielbericht/4626076,/jacob-ramsey/profil/spieler/503749,503749,Jacob Ramsey,icon-tor-formation,1:1,32',32,0
GB1-2025,M-2025-28-05,/spielbericht/index/spielbericht/4626076,/beto/profil/spieler/595809,595809,Beto,icon-tor-formation,1:2,34',34,0
GB1-2025,M-2025-28-05,/spielbericht/index/spielbericht/4626076,/jacob-murphy/profil/spieler/199527,199527,Jacob Murphy,icon-tor-formation,2:2,82',82,0
GB1-2025,M-2025-28-05,/spielbericht/index/spielbericht/4626076,/thierno-barry/profil/spieler/937941,937941,Thierno Barry,icon-tor-formation,2:3,83',83,0
GB1-2025,M-2025-28-06,/spielbericht/index/spielbericht/4626073,/antoine-semenyo/profil/spieler/583255,583255,Antoine Semenyo,icon-tor-formation,0:1,45+2',45,2
GB1-2025,M-2025-28-07,/spielbericht/index/spielbericht/4626070,/diego-gomez/profil/spieler/996897,996897,Diego Gómez,icon-tor-formation,1:0,6',6,0
GB1-2025,M-2025-28-07,/spielbericht/index/spielbericht/4626070,/morgan-gibbs-white/profil/spieler/429014,429014,Morgan Gibbs-White,icon-tor-formation,1:1,13',13,0
GB1-2025,M-2025-28-07,/spielbericht/index/spielbericht/4626070,/danny-welbeck/profil/spieler/67063,67063,Danny Welbeck,icon-tor-formation,2:1,15',15,0
GB1-2025,M-2025-28-08,/spielbericht/index/spielbericht/4626072,/harry-wilson/profil/spieler/279455,279455,Harry Wilson,icon-tor-formation,1:0,7',7,0
GB1-2025,M-2025-28-08,/spielbericht/index/spielbericht/4626072,/alex-iwobi/profil/spieler/242631,242631,Alex Iwobi,icon-tor-formation,2:0,34',34,0
GB1-2025,M-2025-28-08,/spielbericht/index/spielbericht/4626072,/richarlison/profil/spieler/378710,378710,Richarlison,icon-tor-formation,2:1,66',66,0
GB1-2025,M-2025-28-09,/spielbericht/index/spielbericht/4626075,/maxence-lacroix/profil/spieler/434224,434224,Maxence Lacroix,icon-tor-formation,0:1,4',4,0
GB1-2025,M-2025-28-09,/spielbericht/index/spielbericht/4626075,/maxence-lacroix/profil/spieler/434224,434224,Maxence Lacroix,icon-rotekarte-formation,,56',56,0
GB1-2025,M-2025-28-09,/spielbericht/index/spielbericht/4626075,/bruno-fernandes/profil/spieler/240306,240306,Bruno Fernandes,icon-elfmeter-formation,1:1,57',57,0
